"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatorLevenshtein record1Value","[0] RestaurantNameComparatorLevenshtein record2Value","[0] RestaurantNameComparatorLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatorLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatorLevenshtein similarity","[0] RestaurantNameComparatorLevenshtein postproccesedSimilarity","[1] RestaurantCityComparatorEqual record1Value","[1] RestaurantCityComparatorEqual record2Value","[1] RestaurantCityComparatorEqual record1PreprocessedValue","[1] RestaurantCityComparatorEqual record2PreprocessedValue","[1] RestaurantCityComparatorEqual similarity","[1] RestaurantCityComparatorEqual postproccesedSimilarity","[2] RestaurantPostalCodeComparatorLevenshtein record1Value","[2] RestaurantPostalCodeComparatorLevenshtein record2Value","[2] RestaurantPostalCodeComparatorLevenshtein record1PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein record2PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein similarity","[2] RestaurantPostalCodeComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","bookuber_23152","tripadvisor_78668","0.30000000000000004",,"millésimes 62","fourteen cafe","millésimes 62","fourteen cafe","0.0","0.0","paris","paris","paris","paris","1.0","1.0","75014","75014","75014","75014","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_16538","tripadvisor_70837","0.13500000000000004",,"rech","le ballon des ternes","rech","le ballon des ternes","0.050000000000000044","0.050000000000000044","paris 17","paris","paris 17","paris","0.0","0.0","75017","75017","75017","75017","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_5681","tripadvisor_80135","0.38749999999999996",,"pardi","restaurant bar marrakchi","pardi","restaurant bar marrakchi","0.125","0.125","paris","paris","paris","paris","1.0","1.0","75010","75010","75010","75010","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_18037","tripadvisor_18030","0.22352941176470592",,"ravage restaurant","poivre & sel","ravage restaurant","poivre & sel","0.17647058823529416","0.17647058823529416","københavn","","københavn","","0.0","0.0","1050","1050","1050","1050","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_22575","tripadvisor_75751","0.41666666666666663",,"le 9ème ciel","l'extra brut","le 9ème ciel","l'extra brut","0.16666666666666663","0.16666666666666663","paris","paris","paris","paris","1.0","1.0","75009","75009","75009","75009","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_18756","tripadvisor_6509","0.14666666666666667",,"glärnischho","bar el tropezon","glärnischho","bar el tropezon","0.06666666666666665","0.06666666666666665","zürich","","zürich","","0.0","0.0","8002","8002","8002","8002","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17816","tripadvisor_76725","0.37777777777777777",,"l'escale","libanshop","l'escale","libanshop","0.11111111111111116","0.11111111111111116","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_9437","tripadvisor_81913","0.3524999999999999",,"saint burger garibaldi - by kitchen club","ksara","saint burger garibaldi - by kitchen club","ksara","0.07499999999999996","0.07499999999999996","paris","paris","paris","paris","1.0","1.0","75015","75015","75015","75015","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_3727","tripadvisor_10465","0.21052631578947373",,"zyka indian cuisine","mas pastissers","zyka indian cuisine","mas pastissers","0.1578947368421053","0.1578947368421053","christchurch","","christchurch","","0.0","0.0","8041","8041","8041","8041","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_16430","tripadvisor_78192","0.43333333333333335",,"les petites sorcières","l'arequier","les petites sorcières","l'arequier","0.19047619047619047","0.19047619047619047","paris","paris","paris","paris","1.0","1.0","75014","75014","75014","75014","1.0","1.0"
